src/flowslide/web\routes.py:127:1: E303 too many blank lines (3)
src/flowslide/web\routes.py:128:1: E302 expected 2 blank lines, found 3
src/flowslide/web\routes.py:366:101: E501 line too long (104 > 100 characters)
src/flowslide/web\routes.py:470:101: E501 line too long (102 > 100 characters)
src/flowslide/web\routes.py:515:101: E501 line too long (126 > 100 characters)
src/flowslide/web\routes.py:695:101: E501 line too long (102 > 100 characters)
src/flowslide/web\routes.py:735:101: E501 line too long (105 > 100 characters)
src/flowslide/web\routes.py:759:101: E501 line too long (103 > 100 characters)
src/flowslide/web\routes.py:776:101: E501 line too long (105 > 100 characters)
src/flowslide/web\routes.py:807:101: E501 line too long (123 > 100 characters)
src/flowslide/web\routes.py:834:101: E501 line too long (108 > 100 characters)
src/flowslide/web\routes.py:863:101: E501 line too long (117 > 100 characters)
src/flowslide/web\routes.py:866:101: E501 line too long (114 > 100 characters)
src/flowslide/web\routes.py:932:101: E501 line too long (101 > 100 characters)
src/flowslide/web\routes.py:1720:101: E501 line too long (102 > 100 characters)
src/flowslide/web\routes.py:1730:101: E501 line too long (106 > 100 characters)
src/flowslide/web\routes.py:1733:101: E501 line too long (103 > 100 characters)
src/flowslide/web\routes.py:1757:101: E501 line too long (104 > 100 characters)
src/flowslide/web\routes.py:1882:101: E501 line too long (103 > 100 characters)
src/flowslide/web\routes.py:1900:101: E501 line too long (122 > 100 characters)
src/flowslide/web\routes.py:2281:101: E501 line too long (103 > 100 characters)
src/flowslide/web\routes.py:2304:101: E501 line too long (107 > 100 characters)
src/flowslide/web\routes.py:2308:101: E501 line too long (103 > 100 characters)
src/flowslide/web\routes.py:2557:101: E501 line too long (105 > 100 characters)
src/flowslide/web\routes.py:2662:101: E501 line too long (111 > 100 characters)
src/flowslide/web\routes.py:2675:101: E501 line too long (107 > 100 characters)
src/flowslide/web\routes.py:2708:101: E501 line too long (119 > 100 characters)
src/flowslide/web\routes.py:2897:101: E501 line too long (151 > 100 characters)
src/flowslide/web\routes.py:3101:101: E501 line too long (111 > 100 characters)
src/flowslide/web\routes.py:3375:101: E501 line too long (121 > 100 characters)
src/flowslide/web\routes.py:3644:101: E501 line too long (114 > 100 characters)
src/flowslide/web\routes.py:3656:101: E501 line too long (118 > 100 characters)
src/flowslide/web\routes.py:3973:101: E501 line too long (121 > 100 characters)
src/flowslide/web\routes.py:4020:101: E501 line too long (115 > 100 characters)
src/flowslide/web\routes.py:4055:101: E501 line too long (106 > 100 characters)
src/flowslide/web\routes.py:4100:101: E501 line too long (114 > 100 characters)
src/flowslide/web\routes.py:4108:101: E501 line too long (121 > 100 characters)
src/flowslide/web\routes.py:4178:101: E501 line too long (103 > 100 characters)
src/flowslide/web\routes.py:4181:101: E501 line too long (119 > 100 characters)
src/flowslide/web\routes.py:4710:101: E501 line too long (116 > 100 characters)
src/flowslide/web\routes.py:4828:101: E501 line too long (116 > 100 characters)
src/flowslide/web\routes.py:5018:101: E501 line too long (170 > 100 characters)
src/flowslide/web\routes.py:5037:101: E501 line too long (170 > 100 characters)
src/flowslide/web\routes.py:5244:101: E501 line too long (138 > 100 characters)

